,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,0.04601120948791504,0.003906762906786493,0.0035019516944885254,0.0004997880244060768,gini,10,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 5}",0.8289033274266588,0.8369436786136274,0.8343836155966916,0.8436392280425364,0.8359674624198786,0.005296686695182268,1
1,0.04829055070877075,0.003700472812855211,0.0034941434860229492,0.0005053289939440036,gini,10,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 10}",0.8267375467611735,0.8387160299330445,0.8330051201260339,0.8412760929499803,0.8349336974425581,0.0055997391970280894,2
2,0.05600041151046753,0.00797151715650413,0.004499614238739014,0.0008683398809774754,gini,10,20,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 20}",0.8269344359125812,0.8373375344623868,0.8302481291847184,0.8398975974793226,0.8336044242597522,0.005227179022633185,4
3,0.04800480604171753,0.00212243582563863,0.004136800765991211,0.0002270121127486228,gini,10,50,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 50}",0.8166962000393778,0.8326112642772745,0.8211894446632533,0.8324143363528949,0.8257278113332001,0.00696882909579997,38
4,0.04679977893829346,0.0037404622629620605,0.005281805992126465,0.001341783304090255,gini,10,100,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 100}",0.8180744240992321,0.8221740842851516,0.8111461205198898,0.8204017329657345,0.817949090467502,0.004188142088404811,55
5,0.07070106267929077,0.0050890246925465055,0.0044969916343688965,0.0004999080004896156,gini,20,5,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 5}",0.8243748769442804,0.8272942103190233,0.828672705789681,0.8395037416305632,0.829961383670887,0.005723638641795493,28
6,0.07686483860015869,0.013031909788362514,0.008573353290557861,0.007041488249377802,gini,20,10,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 10}",0.8300846623351054,0.8288696337140606,0.8322174084285152,0.8406853091768413,0.8329642534136306,0.004616016540103302,5
7,0.08581137657165527,0.012115873588183803,0.00513070821762085,0.0011419679309783433,gini,20,20,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 20}",0.8267375467611735,0.8391098857818039,0.8241433635289485,0.8389129578574241,0.8322259384823375,0.006847543722144246,9
8,0.060666441917419434,0.01130778275733068,0.006508886814117432,0.0032119152994432086,gini,20,50,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 50}",0.8159086434337468,0.8326112642772745,0.8200078771169752,0.8322174084285152,0.8251862983141278,0.007373221059501481,39
9,0.0546993613243103,0.005937928115530634,0.00425410270690918,0.0016461317321989602,gini,20,100,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 100}",0.8180744240992321,0.8221740842851516,0.8111461205198898,0.8204017329657345,0.817949090467502,0.004188142088404811,55
10,0.07926923036575317,0.005314123115933676,0.005883336067199707,0.00189277630299479,gini,25,5,"{'criterion': 'gini', 'max_depth': 25, 'min_samples_leaf': 5}",0.821421539673164,0.8278849940921623,0.828672705789681,0.8385191020086649,0.829124585390918,0.006110127608587546,30
11,0.09702271223068237,0.02038628427791078,0.004504501819610596,0.0004982804387298123,gini,25,10,"{'criterion': 'gini', 'max_depth': 25, 'min_samples_leaf': 10}",0.8308722189407364,0.8290665616384403,0.8314296967309964,0.8377313903111461,0.8322749669053298,0.0032691208397645937,8
12,0.0640801191329956,0.0030486457689938742,0.004751920700073242,0.0019242602598627918,gini,25,20,"{'criterion': 'gini', 'max_depth': 25, 'min_samples_leaf': 20}",0.8267375467611735,0.8391098857818039,0.8241433635289485,0.8389129578574241,0.8322259384823375,0.006847543722144246,9
13,0.08161085844039917,0.01771289932469406,0.013998448848724365,0.0173225908213766,gini,25,50,"{'criterion': 'gini', 'max_depth': 25, 'min_samples_leaf': 50}",0.8159086434337468,0.8326112642772745,0.8190232374950768,0.8322174084285152,0.8249401384086532,0.007556163857028486,40
14,0.05172628164291382,0.00646152889849256,0.016250967979431152,0.016141941585295243,gini,25,100,"{'criterion': 'gini', 'max_depth': 25, 'min_samples_leaf': 100}",0.8180744240992321,0.8221740842851516,0.8111461205198898,0.8204017329657345,0.817949090467502,0.004188142088404811,55
15,0.11623841524124146,0.02642206479397872,0.006252884864807129,0.0039002732798419895,gini,30,5,"{'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 5}",0.8231935420358338,0.8274911382434029,0.8270972823946435,0.83536825521859,0.8282875544731176,0.004419737327881702,35
16,0.09375637769699097,0.026595718109794636,0.01213163137435913,0.010199220488466403,gini,30,10,"{'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 10}",0.8306753297893286,0.828672705789681,0.8310358408822371,0.8377313903111461,0.8320288166930982,0.003413237247281624,12
17,0.09814178943634033,0.027648296158131695,0.0049974918365478516,0.0012205731170870332,gini,30,20,"{'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 20}",0.8267375467611735,0.8391098857818039,0.8241433635289485,0.8389129578574241,0.8322259384823375,0.006847543722144246,9
18,0.08088243007659912,0.011106444164696702,0.005005061626434326,0.0017297645203818775,gini,30,50,"{'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 50}",0.8159086434337468,0.8326112642772745,0.8190232374950768,0.8322174084285152,0.8249401384086532,0.007556163857028486,40
